year,id,name,surface,held
2017,W-FC-2017-G1-AM-REL-BOL-BRA-01,Fed Cup G1 REL: BOL vs BRA                                                                          ,Hard,2017-02-11
2010,W-INT-MEX-01A-2010,Acapulco                                                                                            ,Clay,2010-02-22
2010,W-INT-MAR-01A-2010,Fes                                                                                                 ,Clay,2010-04-26
2011,D063,Fed Cup G2 RRB: SIN vs OMA                                                                          ,Hard,2011-01-31
2013,W-INT-SWE-01A-2013,Bastad                                                                                              ,Clay,2013-07-15
2018,W-FC-2018-G2-AM-B-B-M-BOL-BER-01,Fed Cup G2 RR: BOL vs BER                                                                           ,Clay,2018-07-19
2013,D091,Fed Cup G2 PO: MAS vs VIE                                                                           ,Hard,2013-02-09
2010,D137,Fed Cup G2 RRA: RSA vs GRE                                                                          ,Clay,2010-04-30
2016,W-FC-2016-WG-M-NED-RUS-01,Fed Cup WG R1: NED vs RUS                                                                           ,Hard,2016-02-06
2011,D130,Fed Cup G2 RRA: DOM vs PUR                                                                          ,Hard,2011-05-16
2010,D065,Fed Cup G1 RRC: SWE vs DEN                                                                          ,Hard,2010-02-03
2018,W-FC-2018-G1-AM-A-M-PAR-CHI-01,Fed Cup G1 RR: PAR vs CHI                                                                           ,Clay,2018-02-08
2010,W-PR-CAN-01A-2010,Montreal                                                                                            ,Hard,2010-08-16
2010,D067,Fed Cup G1 RRC: SWE vs LAT                                                                          ,Hard,2010-02-04
2019,W-FC-2019-WG-M-FRA-BEL-01,Fed Cup WG R1: FRA vs BEL                                                                           ,Hard,2019-02-09
2011,D091,Fed Cup G1 PO: CRO vs GBR                                                                           ,Hard,2011-02-05
2019,W-FC-2019-G1-AM-REL-ECU-ARG-01,Fed Cup G1 REL: ECU vs ARG                                                                          ,Clay,2019-02-09
2017,W-FC-2017-G2-AO-C-M-SGP-MAS-01,Fed Cup G2 RR: SGP vs MAS                                                                           ,Hard,2017-07-20
2016,W-FC-2016-G1-EPA-C-M-CRO-ISR-01,Fed Cup G1 RR: CRO vs ISR                                                                           ,Hard,2016-02-05
2014,D028,Fed Cup G1 RR: CRO vs NED                                                                           ,Hard,2014-02-04
2012,D085,Fed Cup G2 RRB: OMA vs IRI                                                                          ,Hard,2012-02-02
2014,D032,Fed Cup G1 RR: GBR vs ROU                                                                           ,Hard,2014-02-07
2018,0804,Charleston                                                                                          ,Clay,2018-04-02
2017,W-FC-2017-G1-EPA-D-M-SRB-BUL-01,Fed Cup G1 RR: SRB vs BUL                                                                           ,Hard,2017-02-10
2013,D032,Fed Cup G1 RRA: KAZ vs IND                                                                          ,Hard,2013-02-06
2014,W-PR-USA-02A-2014,Stanford                                                                                            ,Hard,2014-07-28
2011,W-INT-CAN-01A-2011,Quebec City                                                                                         ,Hard,2011-09-12
2013,W-PR-FRA-01A-2013,Paris                                                                                               ,Carpet,2013-01-28
2011,W-PR-USA-03A-2011,San Diego                                                                                           ,Hard,2011-08-01
2016,1051,Stuttgart                                                                                           ,Clay,2016-04-18
2011,D098,Fed Cup G3 RRA: RSA vs MNE                                                                          ,Clay,2011-05-06
2010,D050,Fed Cup G1 RRB: PAR vs CHI                                                                          ,Clay,2010-02-03
2017,W-FC-2017-G2-AM-B-M-GUA-BAR-01,Fed Cup G2 RR: GUA vs BAR                                                                           ,Clay,2017-07-20
2014,W-INT-AUT-02A-2014,Linz                                                                                                ,Hard,2014-10-06
2017,W-FC-2017-G2-EPA-REL-NOR-LTU-01,Fed Cup G2 REL: NOR vs LTU                                                                          ,Hard,2017-04-22
2011,D017,Fed Cup WG2 R1: SLO vs GER                                                                          ,Clay,2011-02-05
2016,1041,Kuala Lumpur                                                                                        ,Hard,2016-02-29
2011,D095,Fed Cup G1 PO: NED vs SUI                                                                           ,Hard,2011-02-05
2017,W-FC-2017-G2-AO-C-M-MAS-PAK-01,Fed Cup G2 RR: MAS vs PAK                                                                           ,Hard,2017-07-20
2017,1090,Bol                                                                                                 ,Clay,2017-06-05
2015,W-P700-JPN-01A-2015,Tokyo                                                                                               ,Hard,2015-09-21
2019,1027,Istanbul                                                                                            ,Clay,2019-04-22
2013,D036,Fed Cup G1 RRB: CHN vs KOR                                                                          ,Hard,2013-02-06
2015,W-INT-FRA-01A-2015,Strasbourg                                                                                          ,Clay,2015-05-18
2016,M010,'s Hertogenbosch                                                                                    ,Grass,2016-06-06
